id,CH,Acc,MHT,AcBF
644,0.0,4.759,216.0,0.0
645,0.0,4.771,240.0,0.0
646,0.0,7.695,193.0,0.0
647,0.0,4.786,241.0,0.0
648,0.0,4.935,377.0,0.0
649,0.0,4.783,335.0,0.0
650,0.0,4.727,192.0,0.0
651,0.0,4.772,272.0,0.0
652,0.0,11.341,271.0,0.0
653,0.0,4.789,216.0,0.0
654,0.0,5.971,270.0,0.0
655,0.0,7.683,194.0,0.0
656,0.0,4.75,267.0,0.0
658,0.0,4.804,252.0,0.0
659,0.0,10.187,385.0,0.0
660,0.0,11.367,216.0,4.807
661,0.0,4.776,267.0,0.0
662,0.0,8.627,194.0,0.0
663,0.0,4.751,377.0,0.0
664,0.0,4.732,252.0,0.0
665,0.0,4.785,183.0,0.0
666,0.0,6.931,241.0,0.0
667,0.0,4.721,217.0,0.0
668,0.0,11.362,392.0,0.0
669,0.0,4.732,272.0,0.0
670,0.0,4.733,183.0,0.0
671,0.0,8.116,30.1,0.0
672,0.0,10.002,251.0,0.0
673,0.0,4.799,271.0,0.0
674,0.0,10.488,251.0,0.0
675,0.0,5.599,397.0,0.0
676,0.0,6.93,252.0,0.0
677,0.0,4.766,193.0,0.0
678,0.0,4.734,273.0,0.0
679,0.0,6.548,257.0,0.0
680,0.0,4.759,270.0,0.0
681,0.0,4.741,192.0,0.0
682,0.0,5.507,255.0,0.0
684,0.0,4.912,240.0,0.0
685,0.0,10.26,217.0,0.0
686,0.0,8.233,241.0,0.0
687,0.0,5.222,241.0,0.0
688,0.0,4.763,267.0,0.0
689,0.0,11.322,29.8,0.0
690,0.0,4.706,275.0,0.0
692,0.0,11.356,192.0,0.0
693,0.0,11.53,194.0,0.0
694,0.0,4.772,211.0,0.0
696,0.0,11.323,217.0,11.238
697,0.0,4.734,234.0,0.0
698,0.0,4.778,183.0,0.0
699,0.0,4.779,184.0,0.0
700,0.0,4.766,275.0,0.0
701,0.0,11.459,194.0,4.833
702,0.0,4.784,241.0,0.0
703,0.0,4.708,240.0,0.0
704,0.0,4.768,29.6,0.0
705,0.0,4.755,267.0,0.0
707,0.0,4.749,241.0,4.788
708,0.0,4.756,392.0,0.0
709,0.0,4.736,252.0,0.0
710,0.0,4.821,270.0,0.0
711,0.0,6.67,194.0,0.0
712,0.0,4.733,183.0,0.0
713,0.0,4.766,269.0,0.0
714,0.0,4.738,217.0,0.0
715,0.0,5.904,272.0,0.0
716,0.0,4.834,376.0,0.0
717,0.0,5.667,192.0,0.0
718,0.0,9.848,29.7,0.0
719,0.0,4.84,252.0,0.0
720,0.0,4.773,217.0,0.0
721,0.0,4.791,251.0,0.0
722,0.0,4.779,234.0,0.0
723,0.0,4.75,184.0,0.0
725,0.0,4.788,267.0,4.784
726,0.0,4.733,245.0,0.0
727,0.0,4.753,378.0,0.0
728,0.0,4.753,29.3,0.0
729,0.0,4.791,234.0,0.0
730,0.0,4.973,193.0,0.0
731,0.0,4.764,184.0,0.0
732,0.0,4.733,177.0,7.444
733,0.0,7.467,252.0,0.0
734,0.0,4.735,186.0,0.0
735,0.0,4.757,268.0,0.0
736,0.0,10.837,336.0,0.0
737,0.0,9.055,274.0,0.0
738,0.0,4.806,275.0,4.731
739,0.0,4.756,377.0,0.0
740,0.0,4.751,184.0,0.0
741,0.0,4.763,182.0,0.0
742,0.0,11.103,274.0,0.0
743,0.0,4.722,184.0,5.686
744,0.0,4.792,193.0,0.0
745,0.0,7.717,183.0,0.0
746,0.0,4.818,257.0,0.0
747,0.0,4.757,183.0,0.0
748,0.0,4.745,256.0,0.0
751,0.0,5.401,240.0,0.0
752,0.0,4.729,177.0,0.0
753,0.0,4.735,275.0,0.0
755,0.0,4.785,252.0,0.0
756,0.0,11.463,192.0,0.0
757,0.0,4.748,217.0,0.0
759,0.0,4.753,29.8,0.0
760,0.0,4.805,177.0,0.0
761,0.0,11.268,274.0,0.0
762,0.0,4.799,245.0,0.0
763,0.0,4.781,255.0,0.0
765,0.0,8.332,192.0,0.0
766,0.0,4.71,185.0,0.0
767,0.0,10.661,257.0,0.0
768,0.0,10.519,252.0,0.0
769,0.0,11.333,273.0,0.0
770,0.0,4.78,335.0,0.0
771,0.0,9.109,241.0,0.0
772,0.0,4.849,234.0,0.0
773,0.0,11.433,252.0,0.0
774,0.0,4.728,185.0,0.0
775,0.0,4.758,216.0,0.0
776,0.0,4.723,192.0,0.0
777,0.0,4.738,251.0,0.0
778,0.0,4.733,269.0,0.0
779,0.0,4.721,376.0,5.361
780,0.0,10.174,192.0,0.0
781,0.0,11.393,216.0,0.0
782,0.0,4.81,241.0,0.0
783,0.0,4.802,184.0,0.0
784,0.0,4.757,257.0,0.0
785,0.0,4.77,183.0,0.0
786,0.0,4.744,270.0,0.0
787,0.0,9.32,202.0,0.0
788,0.0,8.474,336.0,0.0
789,0.0,12.203,240.0,0.0
790,0.0,6.952,234.0,4.769
791,0.0,4.758,194.0,0.0
792,0.0,4.758,176.0,0.0
793,0.0,5.599,234.0,0.0
794,0.0,4.739,268.0,0.0
795,0.0,4.745,376.0,0.0
796,0.0,4.807,275.0,0.0
798,0.0,4.732,192.0,5.599
799,0.0,4.776,30.1,0.0
800,0.0,4.786,274.0,11.259
801,0.0,4.748,376.0,4.753
802,0.0,4.727,195.0,0.0
803,0.0,4.753,192.0,0.0
804,0.0,4.723,335.0,0.0
805,0.0,5.688,377.0,0.0
806,0.0,4.791,271.0,0.0
807,0.0,10.529,184.0,0.0
808,0.0,11.16,207.0,0.0
809,0.0,4.727,183.0,0.0
810,0.0,10.747,335.0,0.0
811,0.0,4.807,255.0,0.0
812,0.0,4.734,252.0,0.0
813,0.0,4.754,267.0,0.0
814,0.0,4.762,183.0,0.0
815,0.0,9.659,271.0,0.0
816,0.0,6.736,267.0,0.0
817,0.0,4.764,193.0,0.0
818,0.0,10.03,336.0,0.0
819,0.0,4.79,217.0,0.0
820,0.0,4.734,283.0,0.0
821,0.0,4.807,336.0,0.0
822,0.0,4.771,216.0,0.0
823,0.0,4.774,204.0,0.0
